Target;Subject;Number;Gender;Animacy;Verb;Verb_of_speech;Ger;Verb_time;Object;Protiv1;Protiv2
чуть было;он;Sg;M;1;смолкнуть;0;0;Past;0;1;0
чуть было;[я];Sg;M;1;сказать;1;0;Past;0;0;0
чуть было;[я];Sg;M;1;написать;0;0;Past;1;0;0
чуть было;я;Sg;M;1;обидеться;0;0;Past;0;1;0
чуть было;Таня;Sg;F;1;потерять сознание;0;0;Past;2;1;0
чуть было;затея;Sg;F;0;сорваться;0;0;Past;0;0;0
чуть было;детишки;Pl;None;1;порвать;0;0;Past;1;0;0
чуть было;связка;Sg;F;0;привести;0;0;Past;2;0;0
чуть было;0;Pl;None;2;опоздать выдвинуть;0;0;Past;1;0;0
чуть было;тот американец;Sg;M;1;протаранить;0;0;Past;1;0;0
чуть было;праздник;Sg;M;0;оказаться под угрозой;0;0;Past;2;0;1
чуть было;дискуссия;Sg;F;0;перерасти;0;0;Past;2;1;0
чуть было;сынишка Глеб;Sg;M;1;оторвать;0;0;Past;1;0;0
чуть было;0;Pl;None;2;переименовать;0;0;Past;2;1;0
чуть было;0;Pl;None;2;заменить;0;0;Past;2;0;0
чуть было;0;Pl;None;2;прирезать;0;0;Past;1;0;0
чуть было;1;Sg;M;1;вольтануться;0;0;Past;0;0;1
чуть было;0;Pl;None;2;взять;0;0;Past;1;0;0
чуть было;я;Sg;M;1;сказать;1;0;Past;1;1;0
чуть было;всё;Sg;N;0;закончиться;0;0;Past;2;0;1
чуть было;которые (предки);Pl;None;1;лишить жизни;0;0;Past;1;0;0
чуть было;Москва;Sg;F;0;отказаться;0;0;Past;2;0;0
чуть было;я;Sg;M;1;умереть;0;0;Past;0;0;1
чуть было;российские магнаты;Pl;None;1;лишиться;0;1;Past;1;0;0
чуть было;0;Pl;None;2;депортировать;0;0;Past;0;0;1
чуть было;это;Sg;N;0;произойти;0;0;Past;0;0;1
чуть было;это;Sg;N;0;удаться;0;0;Past;2;0;1
чуть было;доверие;Sg;N;0;пропасть;0;1;Past;0;0;0
чуть было;Глеб;Sg;M;1;переборщить;0;0;Pres;0;0;0
чуть было;Мария Захарченко-Шульц и упоминавшийся Опперпут-Стауниц;Pl;None;1;взорвать;0;0;Past;1;0;1
чуть было;0;Pl;None;0;лишить;0;0;Past;1;0;0
чуть было;Наполеон;Sg;M;1;предложить;1;0;Past;1;1;0
чуть было;плесень;Sg;F;0;проесть;0;0;Past;1;0;0
чуть было;он;Sg;M;1;швырнуть;0;0;Past;1;1;0
чуть было;Печигин;Sg;M;1;спросить;1;0;Past;0;0;0
чуть было;[он];Sg;M;1;отказаться выпускать;1;0;Past;0;0;0
чуть было;я;Sg;M;1;попасть;0;0;Past;2;0;0
чуть было;я;Sg;M;1;зацепить;0;0;Past;1;0;0
чуть было;Некрасов;Sg;M;1;повернуть;0;0;Past;1;1;0
чуть было;наука;Sg;F;0;онеметь;0;1;Past;0;0;0
чуть было;0;Sg;M;1;написать;0;0;Past;1;0;0
чуть было;который (купец);Sg;M;1;утонуть;0;0;Past;2;0;0
чуть было;масса верующего народа;Pl;F;1;разорвать;0;0;Past;1;0;0
чуть было;Вячик;Sg;M;1;потерять;0;0;Past;2;0;0
чуть было;сапожник;Sg;M;1;потерять;0;0;Past;1;0;0
чуть было;я;Sg;M;1;прогнать;0;0;Past;0;0;1
чуть было;я;Sg;F;1;упасть;0;2;Past;2;0;0
чуть было;экспедиторша;Sg;F;1;начать;0;0;Past;1;0;0
чуть было;дверь;Sg;F;0;слететь;0;0;Past;2;0;0
чуть было;которое (приключение);Sg;N;0;закончиться;0;0;Past;0;0;0
чуть было;я;Sg;F;1;утонуть;0;0;Past;2;0;0
чуть было;они;Pl;None;1;пристрелить;0;0;Past;1;0;0
чуть было;он;Sg;M;1;попасться;0;0;Past;0;0;0
чуть было;которые (фанатики-монахи);Pl;None;1;расправиться;0;0;Past;2;0;0
чуть было;вы;Pl;None;1;говорить;1;0;Past;1;0;0
чуть было;0;Pl;None;0;подарить;0;0;Past;1;0;0
чуть было;воспоминание;Sg;N;0;испортить;0;0;Past;1;0;0
чуть было;я;Sg;M;1;дать;0;0;Past;2;0;0
чуть было;[он];Sg;M;2;перестать обретаться;0;0;Past;0;0;0
чуть было;[он];Sg;M;1;задать вопрос;1;0;Past;2;0;0
чуть было;сделка;Sg;F;0;сорвать;0;0;Past;0;0;0
чуть было;я;Sg;M;1;спросить;1;0;Past;1;0;0
чуть было;я;Sg;F;1;отказаться;1;0;Past;2;0;0
чуть было;0;Pl;None;1;побить;0;0;Past;1;0;0
чуть было;0;Sg;None;0;искупаться;0;0;Past;2;0;1
чуть было;Бердышев;Sg;M;1;загреметь;0;0;Past;2;0;0
чуть было;майор;Sg;M;1;слететь;0;1;Past;2;1;0
чуть было;крыло и траки;Pl;None;0;угробить;0;2;Past;1;0;0
чуть было;обстрел;Sg;M;0;накрыть;0;1;Past;1;0;0
чуть было;я;Sg;M;1;улететь;0;0;Past;2;1;0
чуть было;фюрер;Sg;M;1;попасть в плен;0;0;Past;2;0;0
чуть было;Гитлер;Sg;M;1;попасть в руки;0;0;Past;2;0;0
чуть было;Гитлер;Sg;M;1;попасть в плен;0;0;Past;2;0;0
чуть было;тот (Иван Иванович);Sg;M;1;застрелиться;0;0;Past;0;0;0
чуть было;Мария;Sg;F;1;вскрикнуть;1;0;Past;1;1;0
чуть было;[я];Sg;M;1;сорваться;0;0;Past;0;0;0
чуть было;я;Sg;M;1;замёрзнуть;0;0;Past;2;1;0
чуть было;которое (происшествие);Sg;N;0;сорвать;0;0;Past;1;0;0
чуть было;он;Sg;M;1;искупать;0;0;Past;1;0;1
чуть было;я;Sg;M;1;нажать;0;0;Past;1;1;0
чуть было;Артём;Sg;M;1;хмыкнуть;1;0;Past;0;0;0
чуть было;Елтышевы;Pl;None;1;проспустить;0;0;Past;1;0;0
чуть было;Елтышев;Sg;M;1;потерять управление;0;0;Past;2;0;0
чуть было;я;Sg;M;1;поперхнуться;0;0;Past;0;0;0
чуть было;0;Sg;M;1;пройти;0;0;Past;0;0;0
чуть было;она;Sg;F;1;застатаь;0;0;Past;2;0;0
чуть было;смесь;Sg;F;0;разнести;0;1;Past;1;0;0
чуть было;он;Sg;M;1;попасть под машину;0;0;Past;2;0;0
чуть было;капитан;Sg;M;1;проглотить;0;1;Past;1;0;0
чуть было;два самолёта;Pl;None;0;столкнуться;0;0;Past;0;0;0
чуть было;который (сюрприз);Sg;M;0;погубить;0;0;Past;1;0;0
