Left context;Center;Punct;Subject;Number;Gender;Animacy;Verb;Verb_of_speech;Ger;Verb_time;Object;Protiv1;Protiv2;Right context;Full context;;;;;;;;Birthday;Created;Sphere;Type;Topic;Publ_year
 молчать и только молчать, и ; чуть ;  ;он;Sg;M;1;смолкнуть;0;0;Past;0;да;0;было не смолк, да спохватился ;" Ну прям как рыба, вы не сомневайтесь, ? с усердием произнёс он, убеждённо тряхнул несколько раз головой, точно бы давал сам себе зарок молчать и только молчать, и чуть было не смолк, да спохватился и быстренько, хлопотливо, как про запас, начал тараторить, выглядывая за плечом Институтова другого человека:"" Альберт Геннадьевич, знаешь ли, моя как услыхала, ну прямо за горло, стерва, взяла!  [Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001] [омонимия снята]";;;;;;;;1970 ;2001 ;художественная ;повесть ; ;2001 
  Эх, ; чуть ;  ;[я];Sg;M;1;сказать;1;0;Past;0;0;0;было не сказал вам по-лагерному ; Эх, чуть было не сказал вам по-лагерному!  [Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978)] [омонимия снята];;;;;;;;1909 ;1978 ;художественная ;роман ; ;1992 
 и стройные, элегантно обутые ноги, ? ; чуть ;  ;[я];Sg;M;1;написать;0;0;Past;1;0;0;"было не написал ""ножки"", что ";" Фея была тоже в медицинском халате, но профессорском, более высокого ранга ? белоснежно накрахмаленном, из-под которого виднелись оборочки нарядного платья и стройные, элегантно обутые ноги, ? чуть было не написал ""ножки"", что было бы весьма бестактно по отношению к профессору.  [В. П. Катаев. Алмазный мой венец (1975-1977)] [омонимия снята]";;;;;;;;1897 ;1975-1977 ;художественная ;роман ; ;1997 
   Я ; чуть ;  ;я;Sg;M;1;обидеться;0;0;Past;0;но;0;было не обиделся, но разве ;  Я чуть было не обиделся, но разве он был в этом виноват?  [Д. А. Гранин. Месяц вверх ногами (1966)] [омонимия снята];;;;;;;;1919 ;1966 ;публицистика, нехудожественная ;очерк ;путешествия ;1979 
  Таня ; чуть ;  ;Таня;Sg;F;1;потерять сознание;0;0;Past;3;и вдруг;0;было не потеряла сознания, через ; Таня чуть было не потеряла сознания, через несколько секунд поняла, в каких она умелых, искусных руках, и вдруг вырвалась, вскочила и отбежала в дальний угол комнаты, к окну, к телефону.  [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята];;;;;;;;1932 ;1963 ;художественная ;роман ; ;1965 
 в последний момент вся затея ; чуть ;  ;затея;Sg;F;0;сорваться;0;0;Past;0;0;0;было не сорвалась.  ; Каждый шаг давался с трудом, в последний момент вся затея чуть было не сорвалась.  [О. Шульчева-Джарман, Т. Л. Александрова. «Это нельзя публиковать — повредит репутации владыки» (2015.11.04)] [омонимия не снята];;;;;;;; ;2015.11.04 ;публицистика ,  нехудожественная ;интервью ;искусство и культура, религия, история ;2015 
   Поэтому детишки ; чуть ;  ;детишки;Pl;PL;1;порвать;0;0;Past;1;0;0;было не порвали Демидова, когда ;  Поэтому детишки чуть было не порвали Демидова, когда, ввалившись в автобус, рассмотрели, кто же там сидит на водительском месте.  [Марина Зосимкина. Ты проснешься. Книга первая (2015)] [омонимия не снята];;;;;;;; ;2015 ;художественная ;роман ; ;2015 
 обществом, финансов и военного дела ; чуть ;;связка;Sg;F;0;привести;0;0;Past;2;0;0;было не привела к самоуничтожению ;  Характерная для капитализма связка рационального управления обществом, финансов и военного дела чуть было не привела к самоуничтожению и капитализма, и всей западноевропейской цивилизации.  [Георгий Дерлугьян. Чисто империалистическое самоубийство // «Эксперт», 2014] [омонимия не снята];;;;;;;; ;2014 ;публицистика, нехудожественная ;статья ;история, армия и вооруженные конфликты, политика и общественная жизнь, бизнес, коммерция, экономика, финансы ;2014 
  То ; чуть ;  ;0;Pl;Pl;?;опоздать выдвинуть;0;0;Past;1;0;0;было не опоздали выдвинуть «Возвращение ; То чуть было не опоздали выдвинуть «Возвращение» Звягинцева.  [Лариса Юсипова. С Канном за пазухой // «Огонек», 2014] [омонимия не снята];;;;;;;; ;2014 ;публицистика, нехудожественная ;статья ;искусство и культура ;2014 
 дом атаковал другой американец: тот ; чуть ;  ;тот (американец);Sg;M;1;протаранить;0;0;Past;1;0;0;было не протаранил главные заграждения ; А еще через день Белый дом атаковал другой американец: тот чуть было не протаранил главные заграждения своим автомобилем.  [коллективный. Неделя. Герои // «Огонек», 2014] [омонимия не снята];;;;;;;; ;2014 ;публицистика, нехудожественная ;заметка ;право, администрация и управление, искусство и культура ;2014 
