,Target,Subject,Number,Gender,Animacy,Verb,Verb_of_speech,Ger,Verb_time,Object,Protiv1,Protiv2
0,0,101,2,2,1,167,0,0,0,0,1,0
1,0,8,2,2,1,163,1,0,0,0,0,0
2,0,8,2,2,1,67,0,0,0,1,0,0
3,0,137,2,2,1,70,0,0,0,0,1,0
4,0,52,2,1,1,120,0,0,0,2,1,0
5,0,71,2,1,0,170,0,0,0,0,0,0
6,0,67,1,4,1,115,0,0,0,1,0,0
7,0,122,2,1,0,123,0,0,0,2,0,0
8,0,2,1,5,2,77,0,0,0,1,0,0
9,0,131,2,2,1,138,0,0,0,1,0,0
10,0,113,2,2,0,74,0,0,0,2,0,1
11,0,68,2,1,0,91,0,0,0,2,1,0
12,0,129,2,2,1,84,0,0,0,1,0,0
13,0,2,1,5,2,90,0,0,0,2,1,0
14,0,2,1,5,2,35,0,0,0,2,0,0
15,0,2,1,5,2,126,0,0,0,1,0,0
16,0,3,2,2,1,5,0,0,0,0,0,1
17,0,2,1,5,2,4,0,0,0,1,0,0
18,0,137,2,2,1,163,1,0,0,1,1,0
19,0,60,2,3,0,33,0,0,0,2,0,1
20,0,82,1,5,1,61,0,0,0,1,0,0
21,0,43,2,1,0,82,0,0,0,2,0,0
22,0,137,2,2,1,193,0,0,0,0,0,1
23,0,119,1,5,1,62,0,1,0,1,0,0
24,0,2,1,5,2,21,0,0,0,0,0,1
25,0,136,2,3,0,133,0,0,0,0,0,1
26,0,136,2,3,0,190,0,0,0,2,0,1
27,0,69,2,3,0,136,0,1,0,0,0,0
28,0,23,2,2,1,89,0,0,1,0,0,0
29,0,41,1,5,1,3,0,0,0,1,0,1
30,0,2,1,5,0,60,0,0,0,1,0,0
31,0,44,2,2,1,122,1,0,0,1,1,0
32,0,110,2,1,0,132,0,0,0,1,0,0
33,0,101,2,2,1,203,0,0,0,1,1,0
34,0,50,2,2,1,174,1,0,0,0,0,0
35,0,6,2,2,1,83,1,0,0,0,0,0
36,0,137,2,2,1,108,0,0,0,2,0,0
37,0,137,2,2,1,52,0,0,0,1,0,0
38,0,45,2,2,1,97,0,0,0,1,1,0
39,0,96,2,1,0,75,0,1,0,0,0,0
40,0,2,2,2,1,67,0,0,0,1,0,0
41,0,84,2,2,1,201,0,0,0,2,0,0
42,0,91,1,1,1,144,0,0,0,1,0,0
43,0,19,2,2,1,118,0,0,0,2,0,0
44,0,121,2,2,1,118,0,0,0,1,0,0
45,0,137,2,2,1,131,0,0,0,0,0,1
46,0,137,2,1,1,195,0,2,0,2,0,0
47,0,134,2,1,1,69,0,0,0,1,0,0
48,0,64,2,1,0,164,0,0,0,2,0,0
49,0,79,2,3,0,33,0,0,0,0,0,0
50,0,137,2,1,1,201,0,0,0,2,0,0
51,0,104,1,5,1,127,0,0,0,1,0,0
52,0,101,2,2,1,112,0,0,0,0,0,0
53,0,83,1,5,1,148,0,0,0,2,0,0
54,0,61,1,5,1,19,1,0,0,1,0,0
55,0,2,1,5,0,101,0,0,0,1,0,0
56,0,58,2,3,0,56,0,0,0,1,0,0
57,0,137,2,2,1,20,0,0,0,2,0,0
58,0,6,2,2,2,92,0,0,0,0,0,0
59,0,6,2,2,1,30,1,0,0,2,0,0
60,0,123,2,1,0,169,0,0,0,0,0,0
61,0,137,2,2,1,174,1,0,0,1,0,0
62,0,137,2,1,1,82,1,0,0,2,0,0
63,0,2,1,5,1,95,0,0,0,1,0,0
64,0,2,0,0,0,55,0,0,0,2,0,1
65,0,15,2,2,1,28,0,0,0,2,0,0
66,0,89,2,2,1,164,0,1,0,2,1,0
67,0,87,1,5,0,189,0,2,0,1,0,0
68,0,99,2,2,0,66,0,1,0,1,0,0
69,0,137,2,2,1,192,0,0,0,2,1,0
70,0,133,2,2,1,109,0,0,0,2,0,0
71,0,22,2,2,1,110,0,0,0,2,0,0
72,0,22,2,2,1,109,0,0,0,2,0,0
73,0,130,2,2,1,49,0,0,0,0,0,0
74,0,40,2,1,1,7,1,0,0,1,1,0
75,0,8,2,2,1,170,0,0,0,0,0,0
76,0,137,2,2,1,37,0,0,0,2,1,0
77,0,80,2,3,0,169,0,0,0,1,0,0
78,0,101,2,2,1,54,0,0,0,1,0,1
79,0,137,2,2,1,65,0,0,0,1,1,0
80,0,14,2,2,1,202,1,0,0,0,0,0
81,0,30,1,5,1,137,0,0,0,1,0,0
82,0,29,2,2,1,121,0,0,0,2,0,0
83,0,137,2,2,1,113,0,0,0,0,0,0
84,0,2,2,2,1,134,0,0,0,0,0,0
85,0,102,2,1,1,46,0,0,0,2,0,0
86,0,126,2,1,0,143,0,1,0,1,0,0
87,0,101,2,2,1,111,0,0,0,2,0,0
88,0,72,2,2,1,130,0,1,0,1,0,0
89,0,63,1,5,0,178,0,0,0,0,0,0
90,0,86,2,2,0,99,0,0,0,1,0,0
91,0,114,2,2,1,87,0,0,0,1,0,0
92,0,65,1,5,0,2,0,0,0,2,0,0
93,0,88,2,2,1,160,0,0,0,1,0,0
94,0,2,2,2,1,94,0,0,0,2,1,0
95,0,57,2,1,0,15,0,0,0,0,0,1
96,0,2,2,2,2,163,1,0,0,0,0,0
97,0,51,2,2,1,174,1,0,0,1,0,0
98,0,85,2,2,0,123,0,0,0,2,0,0
99,0,0,2,1,0,146,0,0,0,2,1,0
100,0,135,1,5,1,177,0,0,0,2,0,1
101,0,2,2,2,1,12,1,0,0,1,0,0
102,0,61,1,5,1,129,0,0,0,1,1,1
103,0,62,2,2,0,79,0,0,0,2,0,1
104,0,13,2,2,1,119,0,0,0,2,0,0
105,0,120,2,2,1,106,0,0,0,2,0,0
106,0,14,2,2,1,96,0,0,0,2,0,0
107,0,116,2,2,1,117,0,1,0,1,0,0
108,0,2,2,2,1,67,0,0,0,1,0,0
109,0,40,2,1,1,174,1,0,0,1,1,0
110,0,137,2,1,1,151,0,0,0,1,0,0
111,0,95,2,2,1,4,0,0,0,2,0,0
112,0,112,2,3,0,150,0,0,0,1,0,1
113,0,48,2,1,0,159,0,1,0,0,0,0
114,0,2,1,5,1,25,0,0,0,1,0,0
115,0,137,2,2,1,163,1,0,0,1,0,0
116,0,105,2,1,1,36,0,0,0,1,0,0
117,0,56,2,1,0,118,0,1,0,0,0,0
118,0,18,2,2,1,76,0,0,0,0,0,0
119,0,137,2,1,1,174,1,0,0,1,1,0
120,0,137,2,1,1,6,1,0,0,1,0,0
121,0,101,2,2,1,174,1,0,0,1,0,0
122,0,137,2,2,1,177,0,0,0,2,0,1
123,0,100,2,1,0,81,1,0,0,0,0,0
124,0,78,2,1,0,62,0,0,0,2,0,0
125,0,101,2,2,1,194,0,0,0,1,0,0
126,0,33,2,1,1,166,0,0,0,1,0,0
127,0,2,1,5,1,181,0,0,0,2,0,0
128,0,75,2,1,1,158,0,0,0,1,0,1
129,0,98,1,5,1,11,0,0,0,2,0,1
130,0,17,2,1,1,98,0,0,0,2,1,0
131,0,125,1,5,0,164,0,0,0,0,0,0
132,0,10,2,1,0,149,0,0,0,2,0,0
133,0,101,2,2,1,201,0,0,0,0,1,0
134,0,102,2,1,1,23,0,0,0,0,0,0
135,0,36,2,1,1,51,0,0,0,2,0,0
136,0,54,2,1,0,171,0,0,0,0,0,0
137,0,46,2,1,0,108,0,0,0,2,0,0
138,0,109,1,5,0,117,0,0,0,2,0,1
139,0,73,2,1,1,145,0,0,0,0,1,0
140,0,128,2,1,0,68,0,0,0,0,0,0
141,0,106,1,5,1,8,0,0,0,2,0,0
142,0,81,1,5,1,4,0,0,0,2,0,0
143,0,132,2,1,1,13,0,0,0,2,0,0
144,0,77,2,2,0,69,0,0,0,1,0,0
145,0,124,2,1,0,11,0,0,0,2,0,0
146,0,137,2,1,1,186,0,0,0,2,0,0
147,0,137,2,1,1,105,1,0,0,1,1,0
148,0,74,2,3,0,86,0,0,0,2,0,0
149,0,49,2,2,1,41,1,0,0,1,0,0
150,1,8,2,2,1,26,0,0,0,0,0,0
151,1,137,2,1,1,34,1,0,0,0,0,0
152,1,137,2,1,1,0,1,0,0,0,0,0
153,1,93,1,5,1,31,0,0,0,0,0,0
154,1,108,2,2,1,63,0,0,0,3,0,0
155,1,34,2,2,1,135,0,0,0,1,0,0
156,1,1,2,2,0,142,0,0,0,1,0,0
157,1,61,1,5,1,24,1,0,0,0,1,0
158,1,55,2,1,0,125,0,0,0,2,0,0
159,1,8,2,2,1,177,0,0,0,2,0,1
160,1,137,2,2,1,4,0,0,0,0,0,0
161,1,137,2,2,1,163,1,0,0,1,0,0
162,1,2,1,5,1,191,0,0,0,1,0,0
163,1,12,2,1,1,187,0,0,0,2,0,0
164,1,47,2,1,1,200,0,0,0,1,0,0
165,1,137,2,1,1,40,0,0,0,0,0,1
166,1,137,2,1,1,64,0,0,0,3,0,1
167,1,2,1,5,1,185,0,0,0,1,0,1
168,1,5,1,5,1,80,0,0,0,0,0,0
169,1,7,1,5,0,85,0,0,0,0,0,0
170,1,137,2,2,1,157,0,0,0,2,0,0
171,1,120,2,2,1,157,0,0,0,0,0,0
172,1,2,1,5,1,197,0,0,0,1,0,0
173,1,102,2,1,1,184,0,0,0,1,0,0
174,1,94,1,5,1,152,1,0,1,2,0,0
175,1,76,2,2,1,48,0,0,0,1,0,0
176,1,2,2,1,1,193,0,0,0,0,0,0
177,1,8,2,1,1,195,0,0,0,0,0,0
178,1,111,2,1,1,71,0,0,0,0,1,0
179,1,27,2,2,1,93,0,0,1,0,0,0
180,1,6,2,2,1,27,0,0,0,1,0,0
181,1,25,2,2,1,1,0,0,0,1,1,0
182,1,8,2,2,1,26,0,0,0,1,0,0
183,1,137,2,2,1,40,0,0,0,0,0,0
184,1,137,2,2,1,157,0,0,0,2,0,0
185,1,8,2,1,1,26,0,0,0,0,0,0
186,1,2,1,5,1,116,0,0,0,1,0,1
187,1,5,1,5,1,37,0,0,0,0,0,0
188,1,8,2,2,1,26,0,0,0,0,0,0
189,1,102,2,1,1,93,0,0,0,0,0,0
190,1,2,2,2,1,39,0,0,0,1,0,0
191,1,101,2,2,1,169,0,0,0,1,0,0
192,1,101,2,2,1,88,0,0,0,2,0,0
193,1,2,1,5,1,185,0,0,0,1,0,0
194,1,137,2,2,1,14,0,0,0,1,0,0
195,1,137,2,2,1,163,1,0,0,0,0,1
196,1,92,1,5,1,93,1,0,0,0,0,0
197,1,101,2,2,1,173,0,0,0,0,0,0
198,1,137,2,2,1,147,0,0,0,0,0,0
199,1,102,2,1,1,196,0,0,0,3,0,0
200,1,2,2,3,0,185,0,0,0,1,0,0
201,1,2,1,5,1,73,0,0,0,1,0,0
202,1,2,1,5,1,73,0,0,0,1,0,0
203,1,137,2,2,1,18,0,0,0,1,0,0
204,1,97,2,1,1,159,0,0,0,0,0,0
205,1,132,2,1,1,183,0,0,0,1,0,0
206,1,2,2,1,1,188,0,0,0,2,0,1
207,1,101,2,2,1,156,0,0,0,2,0,0
208,1,102,2,1,1,53,0,0,0,2,1,0
209,1,107,2,2,1,154,0,2,0,0,0,0
210,1,11,2,2,1,157,0,2,0,2,0,0
211,1,11,2,2,1,178,0,0,0,2,1,0
212,1,2,1,5,1,185,0,0,0,1,0,0
213,1,53,2,2,1,72,0,0,0,0,0,0
214,1,101,2,2,1,107,0,0,0,0,0,0
215,1,101,2,2,1,93,0,0,0,0,0,0
