;# Corpus: Araneum Russicum Minus (Russian, 15.02) 120 M;;;;;frame;число;падеж;arg0 word;arg0 gram;arg0 anim;arg modifier;arg1 word;arg1 gram;rel;rel gram;construction;;arg2 word;arg2 gram;;;;;;;;;;;;;
;# Hits: 99125;;;;;Которое значение слова;"Число слова ""место""";"Падеж слова ""место""";"Вершина группы, в которую входит ""место"" или подлежащее";;Одушевлённость этой вершины;;"Зависимое слова ""место""";Падеж зависимого;Глагол предложения;Грамматические характеристики глагола;Конструкция;;"Второе зависимое слова ""место""";;;;;;;;;;;;;;
;"#      Query    [lemma=""место"" & tag=""N.*""] 99125";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;#      Shuffle     99125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;lib.web-malina.com;Такой человек, ничего не продаст и не купит на этом базаре с прибылью для себя,-- его < место > среди нищих и дервишей...;;;;10;Sg;Nom;место;;;его;среди нищих и дервишей;среди + Gen;-;;его место Loc;место + (быть);;;;;;;;;;;;;;;
2;mir-interesen.ru;Когда ? то это было очень красивое < место >: неспешно текла вода, птицы пищу себе добывали, рыбаки рыбу ловили, местные жители использовали воду для личных нужд.;;;;2;Sg;Nom;место;;;красивое;;;было;active;было красивое место;место + быть;;;;;;;;;;;;;;;
3;newhouse.ru;Когда отпустите, это < место > слегка побелеет.;;;;1?;Sg;Nom;место;;;это;;;побелеть;active;место побелеет;место побелеет;;;;;;;;;;;;;;;
4;ponedelnik.info;Так называемый ?кризис доверия к власти? в городе начался, когда руководство АВТОВАЗа стало чужим, московским, когда завод перестал быть кормильцем, перестал быть стабильным < местом > работы, сбросил с себя социальную сферу и спортивные команды.;;;;6?;Sg;Ins;место;;;стабильным;работы;Gen;перестал быть ;active;место X-Gen;перестать быть местом;;;;;;;;;;;;;;;
5;ne-seo.ru;До этого наши спортсмены выше второго < места > никогда не поднимались.;;;;12;Sg;Gen;наши спортсмены;Nom, Pl;anim;второго;;;;;выше второго места не поднимались;подняться выше Х места;;;;;;;;;;;;;;;
6;stalinism.ru;Из Тифлиса последовал ответ: ?Если вы лично считаете, что почва для этой дезорганизации подготовлена большинством ЦК КПГ, то Центральному комитету в Грузии здесь не < место > и просим раз навсегда положить конец той инквизиции, которой мы подвергаемся в продолжении полутора года со стороны Орджоникидзе.;;;;10;Sg;Nom;комитету ;Dat, Sg;inan, group;;;;;;X-Dat (здесь/тут) не место;Х-у здесь/там не место;;;;;;;;;;;;;;;
7;kavchenkova.ru;Конечно, пиво заполнило остававшееся < место > в банке.;;;;1;Sg;Acc;пиво;Nom, Sg;inan;оставшееся;;;;;заполнило место;заполнить место;;;;;;;;;;;;;;;
8;nazarovaaaks.tumblr.com;Хах, но я всё-таки скучала по школе, мне там хорошо, и я уверена, что буду скучать по этому < месту > через года 2-4 и через 10-20 тоже, это прекрасное время, не смотря ни на что.;;;;2?;Sg;по + Loc;(я);Nom, Sg, Pron;anim;скучать;;;;;скучать по месту;;;;;;;;;;;;;;;;
9;ord-ua.net;Именно эта категория милиционеров каждодневно и кропотливо собирает первичную информацию, предупреждает преступления, раскрывает убийства и ограбления, а в ?элитах?, к сожалению, служат чванливые индюки, которые уже не способны ни на что, кроме бестолкового выполнения команд ?Фас?, ?Сидеть? и ? <Место >?.;;;;"команда ""место""";Sg;Nom;команд;Gen, Pl;inan;;;;;;"команда ""место""";;;;;;;;;;;;;;;;
10;asia-art.ru;Тогда все эмоции съела жара, жухлая зелень, общая зачуханность < места > и макаки с их говном.;;;;2;Sg;Gen;зачуханность;Nom, Sg;inan;;;;;;зачуханность места;;;;;;;;;;;;;;;;
11;bestreferat.ru;Она унаследовала < место > Советского союза в ООН и СБСЕ, однако сложнейшие внутренние процессы, военное и экономическое ослабление России не могли не сказаться на международном положении нашей страны.;;;;5;Sg;Acc;она;Nom, Sg, Pron;;;Советского Союза;Gen;унаследовать;;унаследовать место;;в ООН и ОБСЕ;в + Loc;;;;;;;;;;;;;
12;russ.ru;Это же не даты какого-нибудь съезда, не отчество второстепенного забытого Бухарина, кто он вообще такой, не год смерти Есенина и не < место > рождения Рокоссовского.;;;;2;Sg;Nom;это;Nom, Pron;;;рождения;Gen;;;место рождения;;;;;;;;;;;;;;;;
13;markroytman.com;Богданов, протерев очки, ответил: - Марк, у твоих уже столько первых < мест >, что ты можешь быть спокоен.;;;;12;Pl;Gen;;;;первых;у твоих;у + Gen;;;;;;;;;;;;;;;;;;;
14;mir1.ru;Походы проходят по заповедным < местам > : водопады, бухты японского моря, горные озера, каньоны, горные реки, древние рифы, пещеры, заповедники, приморская тайга и другие живописные < места >.;;;;2;Pl;по + Gen;походы;Nom, PL;inan;заповедным;;;;;походы по заповедным местам;;;;;;;;;;;;;;;;
15;metrinfo.ru;Что, конечно, тоже благоприятно сказывается на экологии этих < мест >.;;;;2;Pl ;Gen;на экологии;на + Loc, Sg;inan;этих;;;;;экология мест;;;;;;;;;;;;;;;;
16;polnocvet.com;Давайте остановимся на самых важных моментах, которые необходимо учесть. ? < Место > Если ребенок маленький, тогда комфортнее всего будет дома или в небольшом ...;;;;2;Sg;Nom;;;;;;;;;;;;;;;;;;;;;;;;;
17;pol-master.com;Цикля ? специальный инструмент для ручной обработки труднодоступных < мест >.;;;;3;Pl;Gen;обработки;для + Gen, Pl;inan;труднодоступных;;;;;обработка мест;;;;;;;;;;;;;;;;
18;japanesebath.com.ua;Необходимо выбрать красивое < место > для установки, сделать бетонное основание и предусмотреть < место > для слива воды.;;;;2;Sg;Acc;;;;красивое;;;выбрать;active;выбрать место;;установки;для + Gen;;;;;;;;;;;;;
19;osvita.com.ua;Даже очень способный и сильный человек не всегда чувствует себя комфортно на новом < месте >.;;;;?;Sg;на + Loc;способный и сильный человек;Nom, Sg;anim;новом;;;чувствует себя комфортно;;на новом месте;;;;;;;;;;;;;;;;
20;tymoshenko.ua;Подобная ситуация уже имела < место > 1 февраля 2000 года.;;;;?;Sg;(Acc);ситуация;Nom, Sg;inan;;;;;;иметь место;;;;;;;;;;;;;;;;
21;mbaqueen.com;Кошелек по фен-шуй предполагает наличие < места > для денег, просторный кошелек с достаточным для вас количеством отделений, обычно трем: для мелочи, крупных купюр и мелких.;;;;?;Sg;Gen;наличие;Acc, Sg;inan;;;;;;место для Х-Gen;;денег;для + Gen;;;;;;;;;;;;;
22;uaio.ru;Коммунистическая партия предлагает Гендерсонам и Сноуденам ?компромисс?, избирательное соглашение: идем вместе против союза Ллойд Джорджа и консерваторов, делим парламентские < места > по числу голосов, поданных рабочими за Рабочую партию или за коммунистов (не на выборах, а по особому голосованию), сохраняем полнейшую свободу агитации, пропаганды, политической деятельности.;;;;4?;Pl;Acc;[мы];Nom, Pl;;парламентские;;;делим;;делим места;;;;;;;;;;;;;;;;
23;mosbuhuslugi.ru;Следовательно, организация, в состав которой входят обособленные подразделения, расположенные на территории РФ, подлежит постановке на учет в налоговых органах по < месту > нахождения каждого своего обособленного подразделения.;;;;2;Sg;по + Dat;;;;;;;;;по месту Х-Gen;;нахождения;Gen;;;;;;;;;;;;;
24;varjag-2007.dreamwidth.org;Можно сказать, что и сама она стала < местом > культовым, самой героической страницей современного литовского эпоса.;;;;?;Sg;Ins;она;Nom, Sg, pron;;культовым;;;стала;;стать (Adj) местом;;;;;;;;;;;;;;;;
25;tuug.ru;А если вы отъедите за километров 4 от парижско агломерации, то попадете в самое посещаемое < место > в мире ? европейский Диснейлэнд.;;;;2;Sg;в + Acc;вы;Nom, Pl, pron;;самое посещаемое;;;попадёте;;попасть в место;;;;;;;;;;;;;;;;
26;doroga.ua;После этого хочется пожелать благополучия и процветания этому историческому < месту >.;;;;2;Sg;Dat;;;;этому историческому;;;;;пожелать Х-Gen месту;;;;;;;;;;;;;;;;
27;vizantia.info;Менее чем за неделю наружная стена над руслом Ликоса была во многих < местах > полностью разрушена, а ров перед ней почти засыпан, так что восстанавливать ее было делом весьма трудным.;;;;3;Sg;в + Loc;наружная стена;Nom, Sg;inan;многих;;;была разрушена;passive;в (Adj) местах;;;;;;;;;;;;;;;;
28;prostoson.ru;Их энергичный характер и бодрость духа не дают оставаться слишком долго на одном < месте >.;;;;2?;Sg;на + Loc;характер и бодрость духа;Nom, Sg Sg;inan;одном;;;оставаться;;оставаться на (Adj) месте;;;;;;;;;;;;;;;;
29;bestreferat.ru;В другом < месте >, касаясь организации работы передовых перевязочных пунктов, Н.И.Пирогов подчеркивает, что ?...если врач в этих случаях...? (т. е. при поступлении значительного числа раненых) ?...не предположит себе главной целью, прежде всего, действовать административно, а потом уже врачебно, то он совсем растеряется и ни голова его, ни рука не окажут помощи раненым...?.;;;;7;Sg;в + Loc;Пирогов;Nom, Sg;anim;другом;;;подчёркивает;;в (Adj) месте;;;;;;;;;;;;;;;;
30;svem.ru;В тех случаях, когда это обязательство основано на каком-либо договоре, должны быть указаны стороны этого договора, дата и < место > его заключения.;;;;2;Sg;Nom;;;;;;;должны быть указаны;passive;указать место, место Х-Gen;;его заключение;Gen;;;;;;;;;;;;;
31;iftravel.ru;Я был сильно удивлен тем фактом, что нефтяная платформа снялась с < места > и теперь уплывала куда-то, буксируемая корабликом.;;;;?;Sg;с + Gen;нефтяная платформа;Nom, Sg;inan;;;;снялась;active;сняться с места;;;;;;;;;;;;;;;;
32;knigi.netzah.org;"Окрестности Иерусалима были теперь на двадцать километров в окружности пусты и голы, над ними исполнилось слово Писания: ""Гнев Ягве излился на это < место >, на люден, на скот, и деревья, и поля, и плоды земли"" (*149).";;;;2;Sg;на + Acc;гнев;Nom, Sg;inan;;;;излился;active;излиться на место;;;;;;;;;;;;;;;;
33;maxpark.com;А Россия им до того < места >, где нет мозгов.;;;;3;Sg;до + Gen;Россия;Nom, Sg;inan;того;;;;;X-Nom Y-Dat до (Adj) места;;где нет мозго;;;;;;;;;;;;;;
34;kavkaz.mk.ru;?Пришлют на мое < место > своего человека, и тот за два-три года разорит хозяйство.;;;;5, 6;Sg;на + Acc;;;;моё;;;пришлют;active;на Х-Gen место;;;;;;;;;;;;;;;;
35;philanthropy.ru;Муковисцидоз не мешает им расти и совершенствоваться, оттачивать мастерство в любимом деле и занимать в жизни именно свое < место >.;;;;10?;Sg;Acc;муковисцидоз;;;своё;;;не мешает занимать;active;занимать своё место10;;в жизни;в + Loc;;;;;;;;;;;;;
36;cherkesk.bezformata.ru;Участники прокремлёвских движений вели контрагитацию, а < местами > провоцировали столкновения.;;;;11;Pl;Ins;участники прокремлёвских движений;Nom, Pl;anim;;;;провоцировали;active;делать X местами;;;;;;;;;;;;;;;;
37;sochi.rabota.ru;Просто очень сильно раздражает, когда приглашают на собеседование с руководителем, оного на < месте > нет, только секретарь, в любом случае, об этом предупреждать надо.;;;;?;Sg;на + Loc;?оного;Gen, Sg;(anim);;;;нет;?;X нет на месте / быть на месте;;;;;;;;;;;;;;;;
38;travel.gerodot.ru;Новый мост построен на том же < месте >, где был первый, римских времен.;;;;2;Sg;на + Loc;новый мост;Nom, Sg;inan;том же;;;построен;passive;на том же месте, где/что;;;;;;;;;;;;;;;;
39;royalbeauty.ru;Косметологи и врачи, чьим < местом > работы является салон красоты на Большой Академическая , обучаются и проходят стажировку во многих странах ? Франции, России, Италии и Эстонии.;;;;6?;Sg;Ins;салон красоты на Большой Академическая;Nom, Sg;inan;чьим;;;является;active?;являться местом Х-а (работы);;работы;Gen;;;;;;;;;;;;;
40;avtoprof.ru;Согласно закона делать такие запросы не ваша обязанность, а врачей по < месту > регистрации.;;;;?;Sg;по + Dat;;;;;;;;;по месту Х-Gen;;регистрации;Gen;;;;;;;;;;;;;
41;nitro.ru;Если мобильник чада включен, родители могут зайти на сайт компании и, введя специальный код, увидеть карту города, на которой выделено < место >, где ребёнок находится в данный момент.;;;;?точка;Sg;Nom/Acc;;;;;;;выделено;passive;место выделено (отмечено);;;;;;;;;;;;;;;;
